DES_ID_x,Euclid_ID_x,IDSURVEY,zHD,zHDERR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_LOGSFR,HOST_LOGSFR_ERR,HOST_LOGsSFR,HOST_LOGsSFR_ERR,HOST_COLOR,HOST_COLOR_ERR,logmass,logmass_err,MATCH,disk_sersic_sersic_index,disk_sersic_sersic_index_err,phz_pp_median_sfhage,phz_pp_mode_sfhage,phz_pp_68_sfhage,phz_pp_median_sfhtimescale,phz_pp_mode_sfhtimescale,phz_pp_68_sfhtimescale,phz_pp_median_sfr,phz_pp_mode_sfr,phz_pp_68_sfr,phz_pp_median_stellarmass,phz_pp_mode_stellarmass,phz_pp_68_stellarmass,phz_pp_median_stellarmetallicity,phz_pp_mode_stellarmetallicity,phz_pp_68_stellarmetallicity,galaxyclass,sfhtype,imf
1280790,-5.14806E+17,10,0.63211,0.00192,10.394,0.014,0.596,0.263,-9.785,0.26771,1.056,-999,10.394,0.014,FALSE,,,2.503968477,4.884310246,"[0.26964810490608215,4.884310245513916]",0.704352796,0.7068066,"[0.10495965927839279,4.5619611740112305]",0.542637289,-0.308403015,"[-0.3109990358352661,1.254760503768921]",10.38419628,10.38679218,"[10.32795238494873,10.482725143432617]",0.857554018,1.132743478,"[0.29247283935546875,1.1502563953399658]",-99,-99,-99
1335432,-5.15501E+17,10,0.42692,0.00174,10.229,0.014,0.494,0.268,-9.706,0.27002,0.895,-999,10.229,0.014,FALSE,,,1.742099166,1.742099166,"[1.2591171264648438,1.8549778461456299]",4.194149494,4.194149494,"[0.5573028922080994,4.194149494171143]",1.61674571,1.61674571,"[1.21636164188385,1.6167457103729248]",10.43502045,10.43502045,"[10.350428581237793,10.460421562194824]",0.618777871,0.618777871,"[0.618777871131897,1.2660272121429443]",-99,-99,-99
1644180,-5.15574E+17,10,0.61154,0.0019,11.003,0.015,1.001,0.296,-9.983,0.29762,0.966,-999,11.003,0.015,FALSE,,,,,"[NaN,NaN]",,,"[NaN,NaN]",,,"[NaN,NaN]",,,"[NaN,NaN]",,,"[NaN,NaN]",-1,-1,-1
1261259,-5.15587E+17,10,0.52723,0.00183,10.125,0.011,0.495,0.009,-9.623,0.0210238,0.504,-999,10.125,0.011,FALSE,,,1.266321659,1.266321659,"[1.2663216590881348,1.2663216590881348]",3.839616299,3.839616299,"[3.839616298675537,3.839616298675537]",1.364197731,1.364197731,"[1.3641977310180664,1.3641977310180664]",10.04669094,10.04669094,"[10.046690940856934,10.096173286437988]",1.825688958,1.825688958,"[1.8256889581680298,1.8256889581680298]",-99,-99,-99
1313057,-5.16473E+17,10,0.33754,0.00167,10.375,0.012,0.63,0.02,-9.732,0.0256125,1.223,-999,10.375,0.012,TRUE,,,2.647355795,1.589647412,"[1.5896474123001099,6.190202236175537]",17.35443115,7.172626972,"[7.172626972198486,24.953344345092773]",1.922512174,2.07102108,"[1.6295605897903442,2.07102108001709]",10.86392117,10.82942581,"[10.829425811767578,10.957194328308105]",1.72354424,1.423865199,"[1.4238651990890503,1.84430730342865]",-99,-99,-99
1261587,-5.16581E+17,10,0.65387,0.00193,10.2,0.041,-0.979,9.021,-11.157,9.02131,1.325,-999,10.2,0.041,FALSE,,,1.600815654,5.15955925,"[1.279707670211792,2.2321982383728027]",0.049513474,1.672545314,"[0.015477525070309639,0.19729959964752197]",-7.809467316,0.54535377,"[-28.773820877075195,0.07337453961372375]",10.03205776,10.23722935,"[9.997821807861328,10.16204833984375]",1.612217188,0.116362318,"[0.5571669936180115,1.910719633102417]",-99,-99,-99
1303699,-5.16584E+17,10,0.79547,0.00206,11.613,0.007,-1.534,0.197,-13.095,0.19791,1.199,-999,11.613,0.007,FALSE,,,2.739420652,2.302785158,"[2.3027851581573486,4.219410419464111]",0.037832007,0.037832007,"[0.020832672715187073,0.06922419369220734]",-19.92345428,-19.92177582,"[-79.81849670410156,-9.001523971557617]",11.41061401,11.35615444,"[11.356154441833496,11.461097717285156]",1.124121547,1.88880682,"[1.0129954814910889,1.8888068199157715]",-99,-99,-99
1474020,-5.17497E+17,10,0.54148,0.00184,9.446,0.026,1.221,0.003,-8.198,0.003,0.328,-999,9.446,0.026,FALSE,,,0.800647497,1.862663031,"[0.337253212928772,1.8626630306243896]",0.261892974,14.531106,"[0.05526624619960785,14.531105995178223]",0.565505385,0.605163217,"[0.22392311692237854,0.6139861345291138]",9.438136101,9.410336494,"[9.38525390625,9.514344215393066]",0.45818758,0.45818758,"[0.2929896414279938,1.2500109672546387]",-99,-99,-99
1316626,-5.17519E+17,10,0.61601,0.0019,9.932,0.034,0.474,0.584,-9.45,0.59105,1.03,-999,9.932,0.034,FALSE,,,3.906099319,0.022017442,"[0.02422243356704712,8.620879173278809]",1.242194176,0.045332432,"[0.07077714055776596,2.4486382007598877]",-0.238586485,2.194277525,"[-0.7588199973106384,2.220855712890625]",9.477041245,10.14780426,"[9.276019096374512,10.171844482421875]",0.558219016,1.848656178,"[0.1981327086687088,1.9304938316345215]",-99,-99,-99
1334707,-5.17765E+17,10,0.64922,0.00193,9.025,0.012,0.751,0.321,-8.253,0.32249,-0.256,-999,9.025,0.012,FALSE,,,0.2297052,0.218126357,"[0.11543692648410797,0.7232494354248047]",0.838933408,0.246804669,"[0.24680466949939728,6.800931930541992]",-0.978413701,-0.916894674,"[-1.10724937915802,-0.9168946743011475]",7.166665077,7.167196274,"[6.980428695678711,7.365547180175781]",1.439906478,1.577541709,"[1.0425399541854858,1.577541708946228]",-99,-99,-99
